GROUP,SITE NAME,ADDRESS
UaFAM,BELLA VISTA ,"12100 SHELDON STREET
SUN VALLEY, CA 91352
(34.23729735500007, -118.39641166099995)"
UaFAM,SIMPSON VILLAS (CHFA),"6927 SIMPSON AVE
LOS ANGELES, CA 91605
(34.19665061400008, -118.38897252999999)"
UaFAM,SYLMAR AVE.,"9363 Sylmar Ave
Panorama City, CA 91402
(34.24054218100002, -118.44720424399998)"
UaFAM,JUANITA APTS. (CHFA),"624 NORTH JUANITA AVE
LOS ANGELES, CA 90004
(34.08275101400005, -118.29047663299997)"
UaFAM,DANA APARTMENTS,"1461 DANA STREET
LOS ANGELES, CA 90007
(34.031608138000024, -118.29345988999995)"
UaFAM,BROWNING APARTMENTS (CHFA),"1104 BROWNING BLVD
LOS ANGELES, CA 90037
(34.01208272200006, -118.29426994399995)"
UaFAM,LAVETTA TERRACE ,"666 LAVETTA TERRACE
LOS ANGELES, CA 90025
(34.06996365700007, -118.25800550999998)"
UaFAM,CORONADO VILLAS (CHFA),"1640 NORTH CORONADO ST
LOS ANGELES, CA 90026
(34.086558902000036, -118.26371230099994)"
UaFAM,120th. STREET,"136 E 120th STREET
LOS ANGELES, CA 90061
(33.92369348900007, -118.27248951399997)"
UaFAM,MANHATTAN GARDENS (CHFA),"1424 S MANHATTAN PL
LOS ANGELES, CA 90019
(34.04560029600003, -118.31012649499996)"
UaFAM,120th. STREET,"819 E 120TH STREET
LOS ANGELES, CA 90061
(33.92375134900004, -118.25994729899998)"
UaFAM,120th. STREET,"312 W 120th STREET
LOS ANGELES, CA 90061
(33.92371307800005, -118.27877981999995)"
UaFAM,LACONIA,"732 LACONIA STREET
LOS ANGELES, CA 90044
(33.91758409100004, -118.28816054599997)"
UaFAM,120th. STREET,"140 E 120th STREET
LOS ANGELES, CA 90061
(33.92369348900007, -118.27229938699998)"
UaFAM,JEFFERSON VILLAS (CHFA),"1288 W JEFFERSON BLVD
LOS ANGELES, CA 90007
(34.025492978000045, -118.29415932499995)"
UaFAM,MCDONALD,"303 MCDONALD
WILMINGTON, CA 90744
(33.772468023000044, -118.27105261799994)"
UaFAM,APPERSON APARTMENTS (CHFA),"7418 APPERSON
TUJUNGA, CA 91042
(34.255933209000034, -118.29420887399999)"
UaFAM,Victoria AVE.,"6108 Victoria AVE
LOS ANGELES, CA 90043
(33.98423091900003, -118.33227680799996)"
UaFAM,HARBOR RIVERA,"222 S CABRILLO STREET
SAN PEDRO, CA 90731
(33.74174934300004, -118.29450616199995)"
SrPH,87TH STREET,"461 WEST 87TH STREET
LOS ANGELES, CA 90003
(33.95876779500003, -118.28235995999995)"
SrPH,DEL REY SQUARE,"11976 CULVER BLVD
LOS ANGELES, CA 90066
(33.99511191600004, -118.41754566199995)"
SrPH,LANKERSHIM,"6240 NORTH LANKERSHIM BLVD
NORTH HOLLYWOOD, CA 91606
(34.184147204000055, -118.38622203299997)"
SrPBS8,SIMPSON-SATICOY,"7540 SIMPSON AVE
NORTH HOLLYWOOD, CA 91605
(34.20755004800003, -118.38902668699996)"
SrPBS8,ARTHUR SNYDER/YOSEMITE,"1536 YOSEMITE DR
LOS ANGELES, CA 90041
(34.13286259800003, -118.19957081599995)"
SrPBS8,CALIFORNIA APARTMENTS,"609 CALIFORNIA AVENUE
VENICE, CA 90291
(33.99159860900005, -118.46544486499994)"
SrPBS8,WESTSIDE MANOR,"1224 S NORTON
LOS ANGELES, CA 90019
(34.04856626900005, -118.32335123299998)"
SrPBS8,GIBSON MANOR,"1501 E CENTURY BLVD
LOS ANGELES, CA 90002
(33.94571820300007, -118.24749997799995)"
SrPBS8,INDEPENDENT SQUARE,"2455 SOUTH ST ANDREWS PL
LOS ANGELES, CA 90018
(34.03286066800007, -118.31133293399995)"
SrNCS8,LAS PALMAS GARDENS,"1776 NORTH LAS PALMAS AVE
LOS ANGELES, CA 90028
(34.10413045100006, -118.33609662199996)"
SrNCS8,UNION TOWER,"455 S UNION AVE
LOS ANGELES, CA 90017
(34.05894717600006, -118.26887595799997)"
SrNCS8,RESEDA MANOR ,"7725 RESEDA BLVD
RESEDA, CA 91335
(34.21110022800008, -118.53609241499998)"
SrNCS8,OWENSMOUTH GARDENS,"6300 OWENSMOUTH AVE
WOODLAND HILLS, CA 91367
(34.185011416000066, -118.60147634199996)"
SrNCS8,RESEDA EAST ,"18450 INGOMAR ST
RESEDA, CA 91335
(34.211993247000066, -118.53525931599995)"
SrNCS8,CLEMSON/CORBETT,"5600 CLEMSON
LOS ANGELES, CA 90016
(34.023823322000055, -118.36748016999996)"
SrAFF,REFLECTIONS @ WYANDOTTE,"19424 WYANDOTTE ST
RESEDA, CA 91335
(34.20289367700008, -118.55681966099996)"
SrAFF,REFLECTIONS @ GLENALBYN,"4122 GLENALBYN DR
MT WASHINGTON, CA 90065
(34.09512306400006, -118.21190138299994)"
SrAFF,REFLECTIONS @ SEPULVEDA,"10050 SEPULVEDA BLVD
MISSION HILLS, CA 91345
(34.25314123000004, -118.467316171)"
SrAFF,REFLECTIONS @ BARBARA ANN,"13131 BARBARA
N HOLLYWOOD, CA 91606
(34.186731132000034, -118.38680620899999)"
SrAFF,REFLECTIONS @ YOSEMITE,"1560 YOSEMITE DR
EAGLE ROCK, CA 90041
(34.132883339000045, -118.20025987999998)"
SrAFF,REFLECTIONS @ BRITTANIA,"1030 BRITTANIA ST
LOS ANGELES, CA 90033
(34.055736919000026, -118.20918084599998)"
ScaSite,Former PH,"1714 E 111TH PL
LOS ANGELES, CA 90059
(33.933888403000026, -118.24275823199997)"
ScaSite,Former PH,"4331 HONDURAS ST
LOS ANGELES, CA 90011
(34.004549104000034, -118.24403276199996)"
ScaSite,Former PH,"1416 S CRENSHAW
LOS ANGELES, CA 90019
(34.046201489000055, -118.32755353699997)"
ScaSite,Former PH,"8325 PENFIELD AVE
CANOGA PARK, CA 91306
(34.221081293000054, -118.56890248799999)"
ScaSite,Former PH,"145 E 54TH ST
LOS ANGELES, CA 90011
(33.993368513000064, -118.27227979799994)"
ScaSite,Former PH,"6923 SIMPSON AVE
N HOLLYWOOD, CA 91605
(34.19649044700003, -118.38897252999999)"
ScaSite,Former PH,"1100 E 112TH ST
LOS ANGELES, CA 90059
(33.93277347000003, -118.25647970999995)"
ScaSite,Former PH,"11218 EMELITA ST
N HOLLYWOOD, CA 91601
(34.17666313400008, -118.37531914299996)"
ScaSite,Former PH,"1539 E 57TH ST
LOS ANGELES, CA 90011
(33.991207985000074, -118.24640876699999)"
ScaSite,Former PH,"6530 VINELAND AVE
N HOLLYWOOD, CA 91606
(34.189444329000025, -118.37028803299995)"
ScaSite,AVALON SCATTERED,"339 E 107TH ST
LOS ANGELES, CA 90003
(33.93931843000007, -118.26813964999997)"
ScaSite,Former PH,"1158 E ADAMS BLVD
LOS ANGELES, CA 90011
(34.017894832000025, -118.25310121999996)"
ScaSite,Former PH,"11818 VANOWEN AVE
N HOLLYWOOD, CA 91605
(34.19391279300004, -118.39055922199998)"
ScaSite,Former PH,"14311 HAYNES ST
VAN NUYS, CA 91401
(34.18970811600008, -118.44485934999994)"
ScaSite,Former PH,"1059 E 48TH ST
LOS ANGELES, CA 90011
(34.00031241800008, -118.25698589099994)"
ScaSite,Former PH,"5737 KLUMP AVE
N HOLLYWOOD, CA 91601
(34.17515018800003, -118.37526268099998)"
ScaSite,Former PH,"6114 HAZELHURST PL
N HOLLYWOOD, CA 91606
(34.18159720500006, -118.38686270199997)"
ScaSite,Former PH,"6900 MORELLA AVE
N HOLLYWOOD, CA 91605
(34.19590052600006, -118.38998387599997)"
ScaSite,Former PH,"744 N TULAROSA DR
LOS ANGELES, CA 90023
(34.08211768500007, -118.28059609699994)"
ScaSite,Former PH,"354 E 105TH ST
LOS ANGELES, CA 90003
(33.94099269600002, -118.26760959999996)"
ScaSite,Former PH,"563 W 92ND ST
LOS ANGELES, CA 90044
(33.95283815300007, -118.284459417)"
ScaSite,Former PH,"11737 HART ST
N HOLLYWOOD, CA 91605
(34.19756783100007, -118.38900940299999)"
ScaSite,Former PH,"685 E 43RD ST
LOS ANGELES, CA 90011
(34.00571751800004, -118.26359965899996)"
ScaSite,Former PH,"210 W 91ST ST
LOS ANGELES, CA 90003
(33.953693146000035, -118.27638883499998)"
ScaSite,Former PH,"11442 EMELITA ST
N HOLLYWOOD, CA 91601
(34.17665276300005, -118.38047906099996)"
ScaSite,Former PH,"11913 RUNNYMEDE
N HOLLYWOOD, CA 91605
(34.20574787900006, -118.39277966899999)"
ScaSite,Former PH,"1613 E 41ST PL
LOS ANGELES, CA 90011
(34.007418286000075, -118.24514586599997)"
ScaSite,Former PH,"110 E 94TH ST
LOS ANGELES, CA 90011
(33.95104730200006, -118.27323787899996)"
ScaSite,Former PH,"14753 DELANO ST
VAN NUYS, CA 91411
(34.18266767500006, -118.45490955199995)"
ScaSite,Former PH,"3206 NAOMI AVE
LOS ANGELES, CA 90011
(34.014148764000026, -118.25408642099995)"
ScaSite,Former PH,"2927 PARTRIDGE
LOS ANGELES, CA 90039
(34.105381829000066, -118.24624168599996)"
ScaSite,Former PH,"1330 W 57TH ST
LOS ANGELES, CA 90037
(33.990913001000024, -118.29905997999998)"
ScaSite,Former PH,"2326 RIDGELEY ST
LOS ANGELES, CA 90016
(34.028881427000044, -118.35308896599997)"
ScaSite,Former PH,"216 E 87TH PL
LOS ANGELES, CA 90003
(33.958032639000066, -118.27098924299997)"
ScaSite,Former PH,"6615 LEMP AVE
N HOLLYWOOD, CA 91606
(34.19086039800004, -118.38454315899997)"
ScaSite,Former PH,"14743 FRIAR ST
VAN NUYS, CA 91411
(34.18569817600007, -118.45457999999996)"
ScaSite,Former PH,"1565 E 43RD ST
LOS ANGELES, CA 90011
(34.005697929000064, -118.24586604199999)"
ScaSite,Former PH,"245 W 102ND ST
LOS ANGELES, CA 90003
(33.94379850200005, -118.27006972199996)"
ScaSite,Former PH,"3910 MONTCLAIR ST
LOS ANGELES, CA 90018
(34.02972415700003, -118.32861946499997)"
ScaSite,Former PH,"11736 HART ST
N HOLLYWOOD, CA 91605
(34.19751657900008, -118.38877052499998)"
ScaSite,Former PH,"14145 CALVERT St
VAN NUYS, CA 91401
(34.18167786400005, -118.44150966699999)"
ScaSite,Former PH,"205 OPP ST
WILMINGTON, CA 90744
(33.78303790500007, -118.26085031499997)"
ScaSite,Former PH,"215 E 93RD ST
LOS ANGELES, CA 90003
(33.951948591000075, -118.27112982099999)"
PrivPH,PUEBLO DEL SOL PHASE I ,"1400 GABRIEL GARCIA MARQUEZ STREET
LOS ANGELES, CA 90033
(34.050423747000025, -118.22502702599996)"
PrivPH,HARBOR VIEW,"326 KING AVENUE
WILMINGTON, CA 90744
(33.773132890000056, -118.27486667099998)"
PrivPH,WILMINGTON TOWNHOMES,"450 KING AVENUE
WILMINGTON, CA 90745
(33.77421782700003, -118.27494618399999)"
PrivPH,PUEBLO DEL SOL PHASE II,"1400 GABRIEL GARCIA MARQUEZ STREET
LOS ANGELES, CA 90033
(34.050423747000025, -118.22502702599996)"
MKMFH,PARK VIEW EAST,"528 S PARK VIEW ST
LOS ANGELES, CA 90057
(34.06198343900007, -118.27726341699997)"
MKMFH,HUNTINGTON RIDGE APTS.,"5161 HUNGTINGTON DR N
LOS ANGELES, CA 90032
(34.081512479000025, -118.17678602299998)"
MKMFH,LEEWARD PLACE APTS.,"3056 LEEWARD AVE
LOS ANGELES, CA 90005
(34.058683304000056, -118.29066906399999)"
MKMFH,PARK VIEW WEST,"531 S PARK VIEW ST
LOS ANGELES, CA 90057
(34.061867058000075, -118.27741551799994)"
MKMFH,SAN MARINO APARTMENTS,"2780 SAN
LOS ANGELES, CA 90005
(34.05907052600003, -118.30301712299996)"
MKMFH,PARTHENIA,"15520 PARTHENIA ST
SEPULVEDA, CA 91343
(34.228263466000044, -118.47063935099999)"
MKMFH,CLEMSON MARKET,"5736 CLEMSON AVE
LOS ANGELES, CA 90016
(34.024062996000055, -118.37036202599995)"
MKMFH,GIBRALTAR APARTMENTS,"3907 GIBRALTAR AVE
LOS ANGELES, CA 90008
(34.016629626000054, -118.35481198299999)"
MKMFH,CRESCENT COURT,"1412 W 12TH ST
LOS ANGELES, CA 90015
(34.045335271000056, -118.27414073299997)"
LIPH,ESTRADA COURTS & EXTENSION,"3232 ESTRADA ST
LOS ANGELES, CA 90023
(34.02195547300005, -118.20801243199998)"
LIPH,PICO REBUILT & LAS CASITAS,"1526 E 4TH ST
LOS ANGELES, CA 90033
(34.04286362600004, -118.22298287799998)"
LIPH,PUEBLO DEL RIO & EXTENSION,"1801 E 53RD ST
LOS ANGELES, CA 90058
(33.994665750000024, -118.24102914599996)"
LIPH,SAN FERNANDO GARDENS,"10995 LEHIGH AVE
PACOIMA, CA 91331
(34.26922938900003, -118.41689001399999)"
LIPH,AVALON GARDENS,"701 E 88TH PL
LOS ANGELES, CA 90002
(33.95650817000006, -118.26193000299997)"
LIPH,RAMONA GARDENS,"2830 LANCASTER
LOS ANGELES, CA 90033
(34.05746684600007, -118.19390349799994)"
LIPH,MAR VISTA GARDENS,"11965 ALLIN ST
CULVER CITY, CA 90230
(33.99168272500003, -118.41293768699995)"
LIPH,NICKERSON GARDENS,"1590 114TH ST
LOS ANGELES, CA 90059
(33.931087181000066, -118.24652602499998)"
LIPH,GONZAQUE  VILLAGE,"1515 EAST 105TH ST
LOS ANGELES, CA 90002
(33.94059127000003, -118.24749550499996)"
LIPH,RANCHO SAN PEDRO & EXTENSION,"275 WEST FIRST ST
LOS ANGELES, CA 90731
(33.74327698400003, -118.28301723599998)"
LIPH,JORDAN DOWNS & OTHERS,"9800 GRAPE ST
LOS ANGELES, CA 90002
(33.94711131200006, -118.23674688399996)"
LIPH,ROSE HILL COURTS,"4466 FLORIZEL ST
LOS ANGELES, CA 90032
(34.08707322300006, -118.19175949699996)"
LIPH,IMPERIAL COURTS,"11541 CROESUS AVE
LOS ANGELES, CA 90059
(33.929582485000026, -118.233580615)"
LIPH,WILLIAM MEAD HOMES,"1300 NORTH CARDINAL
LOS ANGELES, CA 90012
(34.05948330100006, -118.24204800499996)"
