Species,Number Trimmed
Acacia ,32
African Fern Pine ,1
African Sumac ,1
Albizzia ,15
Alder ,38
Aleppo Pine ,109
Almond ,2
American Ash ,29
American Elm ,30
American Sumac ,1
American Sweetgum ,4
Apple ,1
Apricot ,11
Arborvitae ,3
Arizona Ash ,2
Ash ,421
Australian Christmas ,1
Australian Flame ,1
Australian Willow ,38
Avocado ,60
Bailey Acacia ,2
Banana ,1
Banana Cluster ,1
Birch ,3
Black Acacia ,18
Black Locust ,1
Black Pine ,1
Black Walnut ,95
Blue Gum ,1
Blue Spruce ,2
Bottle ,250
Bottlebrush ,483
Bpttle ,5
Brachychiton ,1
Bradford Pear ,48
Brazilian Pepper ,433
Brisbane Box ,144
Bronze Loquat ,1
Brush Cherry ,1
Cajeput ,5
Calabrian Pine ,1
Californa Fan Palm ,1
California Date Palm ,1
California Fan Palm ,134
California Live Oak ,8
California Oak ,2
California Palm ,82
California Pepper ,190
California Sycamore ,2
California Walnut ,3
Camphor ,1360
Canary Island Date ,4
Canary Island Palm ,65
Canary Island Pine ,473
Carob ,360
Carolina Cherry ,61
Carolina Laurel ,2
Carrotwood ,431
Carrtowood ,1
Casuarina ,400
Catalpa ,103
Cedar ,22
Cedar Deodora ,35
Cherry ,50
Chinaberry ,84
Chinese Elm ,1272
Chinese Elme ,2
Chinese Flame ,62
Chinese Fringe ,5
Chinese Hackberry ,1
Chinese Lantern ,3
Chinese Pistache ,234
Chinese Tallow ,6
Chitalpa ,217
Citrus ,4
Coast Live Oak ,42
Coastal Redwood ,21
Coastol Redwood ,2
Coral ,20
Cork Oak ,4
Cottonwood ,10
Crape Myrlte ,1
Crape Myrtle ,1537
Cupania ,245
Cypress ,50
Dan Palm ,2
Date Palm ,339
Deador Cedar ,5
Deadora Cedar ,1
Deodar ,2
Deodar Cedar ,3
Deodor ,2
Deodora Cedar ,2
Desert Gum ,2
Edible Fig ,2
Elm ,100
Eln ,2
Englis Walnut ,1
English Walnut ,65
Eucalyptus ,621
Eugenia ,73
Evergreen Pear ,151
F. Fig ,1
Fan Palm ,607
Fern Pine ,60
Fiberglass tree ,2
Ficus ,1411
Ficus benjamina ,82
Ficus Deodora ,1
Ficus nitida ,106
Fig ,16
Firewheel tree ,4
Floss Silk ,13
Fruit ,37
Gingko ,52
Glossy Privet ,253
Gold Medallian ,19
Gold Medallion ,42
Golden Medallion ,4
Goldenrain ,132
Grevillea ,118
Guadalupe Palm ,4
Guava ,4
Hibiscus ,6
Hjacaranda ,2
Holly ,1
Honey Locust ,1
Hong Kong Orchid ,25
Ilex Oak ,2
Indian Laurel Fig ,47
Italian Alder ,12
Italian Cypress ,7
Italian Stone Pine ,1
Jacaranda ,1505
Japanese Black Pine ,1
Japanese Magnolia ,3
Japanese Maple ,4
Japanese Privet ,104
Jeffrey Pine ,2
Jerusalem ,1
Juniper ,11
King Palm ,30
Koelreatoria ,1
Koelrueteria ,1
Lavender Crape  ,7
Lavender Trumpet ,1
Lemon ,23
Lemon Bottlebrush ,1
leppo Pine ,5
Liguidambar ,25
Liquidamabar ,2
Liquidambar ,2049
Live Oak ,8
Locust ,195
Lombardy Poplar ,1
London Plane ,1
Loquat ,107
Magnolia ,1461
Maj Magnolia ,6
Majestic Beauty ,29
Mango ,1
Maple ,61
Melaleuca ,77
Melalueca ,3
Mesquite ,5
Mexican Fan Palm ,761
Mimosa ,3
Modesto Ash ,642
Monterery Pine ,1
Monterey Pine ,27
Morton Bay Fig ,2
Mulberry ,314
Nectarine ,1
New Zealand Xmas ,62
Norfolk Island Pine ,1
Norfolk Pine ,8
Oak ,67
Oleander ,305
Olive ,190
Orange ,58
Orchid ,124
Ornamental Pear ,175
Palm ,349
Palo ,1
Palo Verde ,3
Paper Mulberry ,13
Peach ,23
Pear ,620
Pecan ,16
Pencil ,6
Pepper ,111
Phoenix Palm ,18
Photinia ,4
Pine ,790
Pink Crape Myrtle ,24
Pink Dawn ,7
Pink Trumpet ,9
Pistache ,6
Pittosporum ,109
Plum ,90
Podocaprus ,1
Podocarpus ,293
Pomegranite ,4
Pondarosa Pine ,2
Poplar ,8
Primrose ,1
Privet ,201
Prunus ,2
Pruple Leaf Plum ,1
Purple Leaf Plum ,230
Purple Lef Plum ,2
Purple Trumpet ,1
Pyrocanthia ,1
Quava ,1
Queen Palm ,912
Queensland  ,1
Red Flowering ,3
Redwood ,16
Rubber ,37
Rubber Ficus ,1
Sawtooth Zelkova ,4
Scyamore ,4
Shamel Ash ,312
She Oak ,11
She-Oak ,52
Siberian Elm ,60
Silk ,24
Silk Floss ,27
Silk Oak ,7
Silk tree ,6
Silver Dollar ,1
Silver Leaf Maple ,6
Silver Maple ,11
Small trees ,22
So Calif Black ,1
Southern Live Oak ,3
Southern Magnolia ,234
Star Pine ,16
Stone Pine ,13
Sugar Maple ,1
Sumac ,2
Sweet Gum ,2
Sweetgum ,750
Sweetshade ,30
Sycamore ,1380
Tabebuia ,230
Tangerine ,1
Texas Umbrella ,12
Tipu ,149
Tipuana ,7
Tomilson Ash ,76
Tomlinson Ash ,2
Tree ,51
Tree of Heaven ,57
Trees ,66
Tristania ,46
Trumpet ,3
Tulip ,313
Umbrella ,2
Victorian Box ,40
Virginia Oak ,66
Walnut ,24
Washingtonia Palm ,282
Weeping Willow ,6
Western Red Bud ,9
White Alder ,1
White Birch ,107
White Bottlebrush ,2
White Crape Myrtle ,1
White Mulberry ,24
White Oak ,1
Willow ,34
Windmill Palm ,20
Xylosma ,1
Yew ,2
Yew Pine ,4
Yucca ,5
Zelkova ,122
Zylosma ,23
